ID_Venda,Data,Cliente,ID_Produto,Quantidade,Preço_Venda,Custo_Unitário,Receita,Custo_Venda,Lucro,Margem,Situação,Nome_Produto,Custo_Unitario,Preco_Venda_Padrao,Categoria,Ano,Mes,AnoMes,Receita_Cliente,Lucro_Produto,Receita_Categoria,Ticket_Cliente
016,2026-02-08,Construtora Horizonte,001,1800,4.2,2.5,7560,4500.0,3060.0,0.40476190476190477,OK,Bloco estrutural 14x19x39,2.5,4.2,Estrutural,2026,2,2026-02,19060,9860.0,56080,6353.333333333333
017,2026-02-09,Obra Silva,004,650,5.8,3.4,3770,2210.0,1560.0,0.41379310344827586,OK,Canaleta de concreto 14x19x39,3.4,5.8,Estrutural,2026,2,2026-02,11045,3000.0,56080,2761.25
018,2026-02-09,Reformas Souza,013,50,28.0,18.0,1400,900.0,500.0,0.35714285714285715,OK,Argamassa para assentamento,18.0,28.0,Estrutural,2026,2,2026-02,5440,850.0,56080,1360.0
019,2026-02-10,Construtora Alfa,008,500,6.5,3.6,3250,1800.0,1450.0,0.4461538461538462,OK,Paver (bloco intertravado),3.6,6.5,Pavimentação,2026,2,2026-02,18650,2610.0,11150,3730.0
020,2026-02-10,Cliente Particular,003,400,3.2,1.9,1280,760.0,520.0,0.40625,OK,Bloco vedação 9x19x39,1.9,3.2,Vedação,2026,2,2026-02,4025,3120.0,7680,1006.25
021,2026-02-11,Engenharia Forte,010,60,16.0,9.5,960,570.0,390.0,0.40625,OK,Meio fio de concreto,9.5,16.0,Pavimentação,2026,2,2026-02,10560,910.0,11150,2640.0
022,2026-02-11,Obra Costa,006,550,4.6,2.7,2530,1485.0,1045.0,0.41304347826086957,OK,Bloco de amarração,2.7,4.6,Estrutural,2026,2,2026-02,8125,1995.0,56080,2708.3333333333335
023,2026-02-12,Construtora Horizonte,002,1000,5.2,3.1,5200,3100.0,2100.0,0.40384615384615385,OK,Bloco estrutural 19x19x39,3.1,5.2,Estrutural,2026,2,2026-02,19060,5460.0,56080,6353.333333333333
024,2026-02-12,Reformas Souza,011,250,6.8,3.8,1700,950.0,750.0,0.4411764705882353,OK,Lajota de concreto para calçada,3.8,6.8,Pavimentação,2026,2,2026-02,5440,1350.0,11150,1360.0
025,2026-02-13,Obra Silva,005,350,2.5,1.4,875,489.99999999999994,385.00000000000006,0.44000000000000006,OK,Meio bloco estrutural,1.4,2.5,Estrutural,2026,2,2026-02,11045,715.0,56080,2761.25
026,2026-02-13,Construtora Alfa,001,1300,4.2,2.5,5460,3250.0,2210.0,0.40476190476190477,OK,Bloco estrutural 14x19x39,2.5,4.2,Estrutural,2026,2,2026-02,18650,9860.0,56080,3730.0
027,2026-02-14,Cliente Particular,012,90,9.5,5.5,855,495.0,360.0,0.42105263157894735,OK,Bloco vazado decorativo (cobogó),5.5,9.5,Decorativo,2026,2,2026-02,4025,840.0,1995,1006.25
